TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,2,2024-07-20,96,Hotel 32 32,358,346,8.0,Very Good,1654,New York
1,2,2024-07-20,97,Orchard Street Hotel,233,288,7.2,Good,658,New York
1,2,2024-07-20,98,"The Beekman, A Thompson Hotel, by Hyatt",336,435,9.4,Exceptional,1002,New York
1,2,2024-07-20,99,Refinery Hotel,349,376,9.0,Wonderful,1006,Central New York City
1,3,2024-07-20,0,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1382,New York
1,3,2024-07-20,1,Moxy NYC Chelsea,290,370,8.6,Excellent,1020,Chelsea
1,3,2024-07-20,2,Penny Williamsburg,379,410,9.4,Exceptional,532,Williamsburg
1,3,2024-07-20,3,"PUBLIC, an Ian Schrager hotel",398,506,8.2,Very Good,2636,New York
1,3,2024-07-20,4,Hilton Garden Inn New York Times Square South,285,330,9.0,Wonderful,3228,New York
1,3,2024-07-20,5,The Maritime Hotel,277,290,9.4,Exceptional,1003,New York
1,3,2024-07-20,6,Moxy NYC Downtown,269,291,8.6,Excellent,1050,New York
1,3,2024-07-20,7,Courtyard by Marriott New York World Trade Center Area,215,250,8.8,Excellent,570,New York
1,3,2024-07-20,8,"Park South Hotel, part of JdV by Hyatt",240,313,9.2,Wonderful,1001,New York
1,3,2024-07-20,9,Delta Hotels by Marriott New York Times Square,259,256,7.8,Good,536,New York
1,3,2024-07-20,10,Hilton Garden Inn New York/West 35th Street,261,303,9.0,Wonderful,2176,New York
1,3,2024-07-20,11,Pod Times Square,233,294,8.8,Excellent,4193,New York
1,3,2024-07-20,12,The Muse New York,344,444,9.2,Wonderful,1068,Theater District
1,3,2024-07-20,13,Park Terrace Hotel,311,401,9.4,Exceptional,1332,Central New York City
1,3,2024-07-20,14,Courtyard by Marriott New York City Manhattan Fifth Avenue,254,295,8.4,Very Good,1001,New York
1,3,2024-07-20,15,Hilton Garden Inn New York/Times Square Central,237,306,8.2,Very Good,1877,Theater District
1,3,2024-07-20,16,Hotel 27 by LuxUrban,220,256,7.6,Good,459,New York
1,3,2024-07-20,17,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1382,New York
1,3,2024-07-20,18,Freehand New York,224,294,8.2,Very Good,1074,New York
1,3,2024-07-20,19,70 Park Avenue,220,296,9.0,Wonderful,1004,New York
1,3,2024-07-20,20,"Club Quarters Hotel, Grand Central",288,363,8.8,Excellent,2043,New York
1,3,2024-07-20,21,RIU Plaza Manhattan Times Square,445,370,9.0,Wonderful,3279,Theater District
1,3,2024-07-20,22,Fairfield Inn by Marriott New York Manhattan/Times Square,281,326,8.8,Excellent,1147,New York
1,3,2024-07-20,23,Chelsea Savoy Hotel,275,319,8.6,Excellent,2005,Chelsea
1,3,2024-07-20,24,Hyatt Grand Central New York,278,369,8.0,Very Good,3849,New York
1,3,2024-07-20,25,"Club Quarters Hotel, World Trade Center",260,331,8.6,Excellent,1431,New York
1,3,2024-07-20,26,World Center Hotel,270,342,8.6,Excellent,2097,New York
1,3,2024-07-20,27,Hilton Garden Inn New York/Manhattan-Midtown East,265,308,8.2,Very Good,1256,New York
1,3,2024-07-20,28,Arlo NoMad,289,342,8.6,Excellent,1323,New York
1,3,2024-07-20,29,Moxy NYC East Village,263,339,8.8,Excellent,1016,New York
1,3,2024-07-20,30,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1003,Chelsea
1,3,2024-07-20,31,HOTEL FUEGO BRONX,199,220,10,Exceptional,1,Bronx
1,3,2024-07-20,32,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,270,313,8.8,Excellent,1319,Chelsea
1,3,2024-07-20,33,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1003,Chelsea
1,3,2024-07-20,34,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,247,287,8.8,Excellent,1732,New York
1,3,2024-07-20,35,"The Beekman, A Thompson Hotel, by Hyatt",336,435,9.4,Exceptional,1002,New York
1,3,2024-07-20,36,Radio City Apartments,291,304,8.8,Excellent,3611,Theater District
1,3,2024-07-20,37,The FIDI Hotel,254,270,8.8,Excellent,438,New York
1,3,2024-07-20,38,"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",254,295,7.4,Good,1007,Chelsea
1,3,2024-07-20,39,Best Western Premier Empire State Hotel,267,310,9.0,Wonderful,711,New York
1,3,2024-07-20,40,Paramount Times Square,224,301,7.2,Good,2770,Theater District
1,3,2024-07-20,41,"Club Quarters, Times Square - Midtown",296,372,8.6,Excellent,2652,Central New York City
1,3,2024-07-20,42,Pod 39,224,284,8.8,Excellent,1554,New York
1,3,2024-07-20,43,Sheraton Tribeca New York Hotel,269,312,8.4,Very Good,1039,New York
1,3,2024-07-20,44,"The Lexington Hotel, Autograph Collection",220,291,8.4,Very Good,1008,New York
1,3,2024-07-20,45,Archer Hotel New York,305,354,9.2,Wonderful,1007,Central New York City
1,3,2024-07-20,46,Courtyard New York Manhattan/ Midtown East,729,413,8.8,Excellent,2035,New York
1,3,2024-07-20,47,Millennium Downtown New York,289,342,7.4,Good,2358,New York
1,3,2024-07-20,48,Arlo NoMad,289,342,8.6,Excellent,1323,New York
1,3,2024-07-20,49,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
1,3,2024-07-20,50,Hilton Garden Inn New York/Midtown Park Ave,264,307,8.4,Very Good,1009,New York
1,3,2024-07-20,51,Broadway Plaza Hotel,329,355,9.2,Wonderful,1525,New York
1,3,2024-07-20,52,Arlo Midtown,349,398,9.2,Wonderful,5379,New York
1,3,2024-07-20,53,"The Bernic Hotel New York City, Tapestry Collection by Hilton",252,293,8.8,Excellent,1002,New York
1,3,2024-07-20,54,Hotel Beacon,499,406,9.2,Wonderful,1044,Upper West Side
1,3,2024-07-20,55,DoubleTree by Hilton New York Times Square West,271,315,7.2,Good,1340,New York
1,3,2024-07-20,56,The Hotel Chelsea,490,510,9.8,Exceptional,725,Chelsea
1,3,2024-07-20,57,Residence Inn by Marriott New York Manhattan/Midtown East,334,389,9.2,Wonderful,1006,New York
1,3,2024-07-20,58,The Luxury Collection Hotel Manhattan Midtown,356,454,8.6,Excellent,1005,New York
1,3,2024-07-20,59,The Flat NYC,274,255,8.6,Excellent,301,New York
1,3,2024-07-20,60,The New Yorker A Wyndham Hotel,284,363,8.2,Very Good,4689,New York
